"","gene_symbol"
"339","OLIG2"
"340","HOXA2"
"341","MYPOP"
"342","JARID2"
"343","FOXJ1"
"344","YLPM1"
"345","BATF3"
"346","ETV4"
"347","PBX3"
"348","POU4F3"
"349","GCM1"
"350","DLX5"
"351","IGHMBP2"
"352","SIX2"
"353","POU3F2"
"354","ISL1"
"355","IRF4"
"356","SOX7"
"357","ESRRG"
"358","CLOCK"
"359","HAND2"
"360","MAZ"
"361","FOXL2"
"362","MEOX1"
"363","KLF11"
"364","SIX4"
"365","DLX2"
"366","HELT"
"367","MLXIPL"
"368","TEF"
"369","FOXP4"
"370","NPAS4"
"371","HSF2"
"372","ZNF219"
"373","SNAI1"
"374","HOXB5"
"375","PURB"
"376","NR2C1"
"377","POU4F1"
"378","RXRB"
"379","ETV1"
"380","KCNH8"
"381","GMEB1"
"382","NR2F6"
"383","BHLHE41"
"384","ETS2"
"385","POU2F3"
"386","NEUROD6"
"387","OTX2"
"388","MXD1"
"389","SOX18"
"390","SIX6"
"391","ZNF467"
"392","NKX2-2"
"393","ZBTB16"
"394","FOXK2"
"395","FERD3L"
"396","BCL11B"
"397","GRHL1"
"398","NKX2-8"
"399","EBF4"
"400","MIXL1"
"401","ZC3H8"
"402","DMBX1"
"403","CREB3L1"
"404","JDP2"
"405","GLIS1"
"406","KLF16"
"407","ONECUT3"
"408","DLX4"
"409","ELF3"
"410","TXK"
"411","CARF"
"412","ASCL3"
"413","NFAT5"
"414","PHOX2B"
"415","ZBTB20"
"416","GSX1"
"417","HOXC13"
"418","TBX3"
"419","RFX4"
"420","TBX5"
"421","NR1H4"
"422","HEY2"
"423","ONECUT2"
"424","GCFC2"
"425","CREB3L3"
"426","PITX3"
"427","TEAD2"
"428","SCRT2"
"429","NR1I2"
"430","TBX1"
"431","TBX2"
"432","ETV7"
"433","NR2E1"
"434","PROP1"
"435","ZIC2"
"436","ZIC3"
"437","ZIC1"
"438","PHOX2A"
"439","STK16"
"440","NR4A3"
"441","PKNOX1"
"442","SOX15"
"443","HES5"
"444","FOXJ2"
"445","SCX"
"446","MYBL2"
"447","MEIS2"
"448","PATZ1"
"449","CGGBP1"
"450","SOX14"
"451","KLF13"
"452","RAX"
"453","ESX1"
"454","SNAI3"
"455","SNAI2"
"456","ETV6"
"457","AEBP1"
"458","FOXE1"
"459","RCOR1"
"460","ZNF281"
"461","NFYC"
"462","IKZF3"
"463","SOX30"
"464","AEBP2"
"465","RXRG"
"466","CEBPE"
"467","HMX1"
"468","PREB"
"469","KCNIP3"
"470","MSC"
"471","KLF12"
"472","KLF9"
"473","ALX4"
"474","SIX1"
"475","TP73"
"476","IRF7"
"477","ALX1"
"478","PLAGL2"
"479","POU3F3"
"480","BCL6B"
"481","HOXC11"
"482","SOX1"
"483","MEF2B"
"484","NR0B1"
"485","CREB3"
"486","MNT"
"487","NR6A1"
"488","MYT1"
"489","TCF4"
"490","ELF4"
"491","HOXD9"
"492","PITX1"
"493","ARNT2"
"494","TEAD4"
"495","ZSCAN21"
"496","NR1D1"
"497","NR2F2"
"498","CEBPD"
"499","ARID3B"
"500","TGIF1"
"501","PCGF6"
"502","CREB5"
"503","NR3C2"
"504","ZNF292"
"505","NFKB2"
"506","ZNF148"
"507","RELB"
"508","NR1I3"
"509","NKX6-2"
"510","MYBL1"
"511","NFX1"
"512","HOXD8"
"513","RARA"
"514","TCF7"
"515","MZF1"
"516","ZFP90"
"517","TFAP2B"
"518","TFAP4"
"519","ATF1"
"520","HIVEP1"
"521","DBP"
"522","XBP1"
"523","PTF1A"
"524","CEBPZ"
"525","E4F1"
"526","RARB"
"527","TFAM"
"528","POU2F1"
"529","NKX2-1"
"530","ARHGAP35"
"531","THRB"
"532","PAX8"
"533","ASCL2"
"534","RFX5"
"535","GFI1B"
"536","ESRRB"
"537","MAFF"
"538","STAT6"
"539","STAT2"
"540","E2F6"
"541","E2F3"
"542","FOSL2"
"543","MAFK"
"544","ZNF143"
"545","ERG"
"546","ZFX"
"547","DUX4"
"548","HOXA9"
"549","E2F1"
"550","MYCN"
"551","ZEB1"
"552","MECOM"
"553","ZBTB33"
"554","MAFG"
"555","ZNF354C"
"556","LHX3"
"557","PRRX2"
"558","STAT5A"
"559","STAT4"
"560","HNF4G"
"561","ETS1"
"562","ZNF263"
"563","SOX3"
"564","ELK4"
"565","SOX6"
"566","SPZ1"
"567","KLF1"
"568","FOXQ1"
"569","SP2"
"570","RFX1"
"571","NR2E3"
"572","SPIB"
"573","NR2C2"
"574","FEV"
"575","RREB1"
"576","NFE2"
"577","RFX2"
"578","HLF"
"579","FOXL1"
"580","NR2F1"
"581","JUND"
"582","THAP1"
"583","TBP"
"584","NFYB"
"585","HOXC9"
"586","BRCA1"
"587","HESX1"
"588","HOXB3"
"589","GSC"
"590","RBPJL"
"591","HOXB9"
"592","TSC22D1"
"593","MXI1"
"594","HOXC6"
"595","ZFP161"
"596","MYNF1"
"597","FOXD4"
"598","HOXB1"
"599","TCF20"
"600","ZNF80"
"601","PRDM2"
"602","MYEF2"
"603","ATF6"
"604","ZNF652"
"605","ZNF274"
"606","ZNRD1"
"607","ZNF674"
"608","DMRT2"
"609","OTP"
"610","CNOT3"
"611","ZNF429"
"612","CREM"
"613","ZNF395"
"614","DBX1"
"615","HES4"
"616","GBX1"
"617","SP7"
"618","ZNF35"
"619","OVOL2"
"620","IRF8"
"621","HNRNPAB"
"622","ZNF224"
"623","PAX1"
"624","HOXB4"
"625","ZNF589"
"626","SIM2"
"627","HOXB8"
"628","VEZF1"
"629","HOXD10"
"630","HOXC8"
"631","GMEB2"
"632","ZNF76"
"633","ZNF10"
"634","ZNF202"
"635","FOXB1"
"636","ZHX2"
"637","ZNF804A"
"638","PHF20"
"639","CASZ1"
"640","BHLHA9"
"641","ZNF238"
"642","LZTFL1"
"643","ZNF302"
"644","CAMTA1"
"645","HMBOX1"
"646","ZNF580"
"647","HOXA13"
"648","IRF6"
"649","CREBL2"
"650","ZBTB1"
"651","HOXC5"
"652","ZNF512B"
"653","ZNF592"
"654","ZNF687"
"655","ZMYND8"
"656","POU3F4"
"657","KLF2"
"658","HIF3A"
"659","RORC"
"660","EN2"
"661","SALL2"
"662","VENTX"
"663","CTBP2"
"664","ZBTB42"
"665","HIVEP3"
"666","PRDM14"
"667","ZNF431"
"668","TOX3"
"669","BTBD11"
"670","GRHL2"
"671","NKX1-2"
"672","SON"
"673","SHOX2"
"674","ZNF513"
"675","ZNF821"
"676","RAI1"
"677","ZNF673"
"678","ZNF41"
"679","TFCP2L1"
"680","FOXD4L1"
"681","ZFP1"
"682","ZFP54"
"683","ZNF300"
"684","PHF10"
"685","ZNF193"
"686","IRX1"
"687","PHF7"
"688","NFKBIZ"
"689","ZNF711"
"690","ZNF250"
"691","ZNF251"
"692","ZNF252P"
"693","ZNF34"
"694","ZNF517"
"695","ZNF7"
"696","ZNF131"
"697","IKZF2"
"698","TBX10"
"699","FAM170A"
"700","IRF9"
"701","FOXD4L5"
"702","FOXD4L6"
"703","HMGB1P1"
"704","RHOXF2B"
"705","ZNF705D"
"706","ZNF705F"
"707","ZNF720"
"708","ZNF734P"
"709","ZNF98"
"710","DBX2"
"711","RNF112"
"712","ZFY"
"713","HLX"
"714","SATB2"
"715","FOXA3"
"716","DMTF1"
"717","TSHZ2"
"718","TSHZ3"
"719","ZSCAN10"
"720","LBX1"
"721","DRGX"
"722","MYRF"
"723","LHX6"
"724","IER2"
"725","ZNF642"
"726","ZNF69"
"727","ZBTB5"
"728","OSR1"
"729","ZBTB2"
"730","PBX2"
"731","FEZF1"
"732","EWSR1"
"733","BTBD3"
"734","IRX6"
"735","SALL3"
"736","ZNF84"
"737","MACC1"
"738","OLIG3"
"739","KLF14"
"740","SP6"
"741","KHSRP"
"742","PRDM12"
"743","PRDM13"
"744","PRDM16"
"745","THAP11"
"746","MN1"
"747","ST18"
"748","RFX7"
"749","KLF6"
"750","NKX6-3"
"751","CTNNBL1"
"752","FOXS1"
"753","RHOX5"
"754","OLIG1"
"755","ZNF256"
"756","BCLAF1"
"757","ZNF133"
"758","FOXJ3"
"759","FOXN2"
"760","FOXN3"
"761","FOXR1"
"762","FOXR2"
"763","FOXG1"
"764","PBX4"
"765","TSHZ1"
"766","ZSCAN4"
"767","SP8"
"768","SP110"
"769","ZNF124"
"770","DLX1"
"771","SIX5"
"772","ZFHX3"
"773","ZBED1"
"774","EGR4"
"775","ZNF175"
"776","ZNF23"
"777","ZNF692"
"778","ISL2"
"779","SP5"
"780","DACH2"
"781","FOXN4"
"782","TFDP3"
"783","ZHX3"
"784","ZNF433"
"785","CREBRF"
"786","BNC1"
"787","ZNF384"
"788","TULP4"
"789","SALL4"
"790","ZNF284"
"791","EMX1"
"792","EMX2"
"793","CIC"
"794","NANOG"
"795","ZNF492"
"796","RNF2"
"797","ZBTB45"
"798","PRDM15"
"799","ZSCAN12"
"800","SCML4"
"801","FOXI2"
"802","IRX5"
"803","IRX3"
"804","NANOGP8"
"805","ZNF468"
"806","ZNF267"
"807","LHX4"
"808","UBP1"
"809","FOXO6"
"810","TBX6"
"811","BARX1"
"812","AFR2"
"813","TBPL1"
"814","ZNF18"
"815","NKX2-6"
"816","VSX2"
"817","ZNF295"
"818","ZNF333"
"819","TCFL5"
"820","LHX9"
"821","PHF6"
"822","ZNF322"
"823","ZNF668"
"824","NRG1"
"825","FOXD4L3"
"826","NHLH2"
"827","ZIC4"
"828","ZIC5"
"829","BHLHE23"
"830","SP9"
"831","NPAS1"
"832","NPAS3"
"833","ZNF367"
"834","NEUROG2"
"835","ZNF470"
"836","HOXB2"
"837","HOXB6"
"838","SP4"
"839","HOXC4"
"840","TFCP2"
"841","HIC1"
"842","ALX3"
"843","SUZ12"
"844","ZNF496"
"845","IRX2"
"846","HOXB13"
"847","KLF10"
"848","YY2"
"849","BNC2"
"850","RAX2"
"851","HBP1"
"852","ATF6B"
"853","DPF3"
"854","TOX2"
"855","HOXD3"
"856","LRRFIP1"
"857","ZKSCAN5"
"858","ZNF214"
"859","ZNF215"
"860","ZNF22"
"861","NEUROD4"
"862","HOMEZ"
"863","FOXE3"
"864","RNF141"
"865","ZNF230"
"866","MYCL1"
"867","SPIC"
"868","LITAF"
"869","FOXD2"
"870","IRF5"
"871","LCORL"
"872","ZNF43"
"873","ERF"
"874","NR1H5P"
"875","RHOXF2"
"876","KMT2A"
"877","SOX21"
"878","ZNF8"
"879","FOXB2"
"880","PRDM10"
"881","ZNF323"
