,Selected,vst_mean,vst_variable,vst_variance,vst_variance_expected,vst_variance_standardized,highly_variable,n_cells
CDCA8,0.0,0.4302452,1,1.0452989,0.5435964,1.9229323,False,2442
MANEAL,0.0,0.029445997,0,0.032226983,0.03239196,0.9949068,False,220
YRDC,0.0,0.06595282,0,0.06866655,0.07286129,0.94242835,False,631
C1orf122,0.0,1.5243249,0,2.3559554,2.7239954,0.8648896,False,7577
MTF1,0.0,0.17252482,0,0.19002065,0.19676152,0.96574086,False,1479
INPP5B,0.0,0.045158286,0,0.045914095,0.049792346,0.92211145,False,470
SF3A3,0.0,0.367784,0,0.44940478,0.45416623,0.989516,False,2898
FHL3,0.0,0.1967334,0,0.23066401,0.22689098,1.0166292,False,1678
UTP11,0.0,0.40293297,0,0.44481623,0.50406176,0.88246375,False,3416
POU3F1,1.0,0.15518312,1,0.22321115,0.17583634,1.2694256,True,928
AL139158.2,0.0,0.012841403,0,0.013220155,0.013863552,0.95359075,False,119
RRAGC,0.0,0.1929702,0,0.2120724,0.22218256,0.9544962,False,1647
AL139260.1,0.0,0.03522657,0,0.036547594,0.03883082,0.9412007,False,369
MYCBP,0.0,0.1754733,0,0.1952021,0.20039311,0.97409594,False,1325
RHBDL2,1.0,0.002599317,1,0.00375658,0.0027403063,1.3708613,True,25
AKIRIN1,0.0,1.0534993,0,1.4069922,1.6423868,0.85667527,False,6338
NDUFS5,0.0,6.153903,0,19.901707,24.279625,0.81968755,False,11096
MACF1,0.0,0.74433583,0,0.9847982,1.0479014,0.9397813,False,5574
PABPC4,0.0,0.72408444,0,0.947728,1.0124016,0.9361186,False,4816
HEYL,0.0,0.015789881,0,0.017558623,0.0171398,1.0244358,False,197
HPCAL4,0.0,0.02215239,0,0.023990339,0.024245508,0.98947555,False,260
PPIE,0.0,0.38198325,0,0.42316172,0.4742045,0.8923612,False,3290
BMP8B,0.0,0.00174581,0,0.0017428298,0.0018281344,0.9533379,False,15
OXCT2,0.0,0.00077591557,0,0.00085293816,0.0008024266,1.0629486,False,11
AL033527.3,0.0,0.00046554935,0,0.00046535066,0.00047861357,0.9722889,False,5
AL033527.5,0.0,0.000349162,0,0.00034905365,0.00035777802,0.97561514,False,4
TRIT1,0.0,0.240883,0,0.26659,0.28340554,0.94066614,False,2126
MYCL,1.0,0.26959187,1,0.3673174,0.3207111,1.1453217,True,1847
AL033527.2,0.0,0.0010474861,0,0.0010464294,0.0010878278,0.9619439,False,9
MFSD2A,0.0,0.032006517,0,0.03416468,0.035248067,0.969264,False,288
CAP1,0.0,0.6735335,0,0.8287792,0.92553437,0.89546025,False,4660
PPT1,0.0,0.39730757,0,0.46200478,0.49600753,0.9314471,False,3177
RLF,0.0,0.12383613,0,0.1279036,0.13904023,0.91990346,False,1230
AL050341.2,0.0,0.29659373,0,0.31749916,0.35655746,0.8904573,False,2667
ZMPSTE24,0.0,0.11658131,0,0.12510855,0.13062255,0.95778686,False,1092
COL9A2,0.0,0.0799581,0,0.08481887,0.08877269,0.9554613,False,830
SMAP2,0.0,0.11130509,0,0.118163556,0.12455898,0.9486555,False,973
ZFP69B,0.0,0.03530416,0,0.03599896,0.038916633,0.92502767,False,286
ZFP69,0.0,0.029290814,0,0.030373828,0.032218874,0.942734,False,246
AL603839.3,0.0,0.0036080074,0,0.0035951291,0.0038255334,0.939772,False,41
EXO5,0.0,0.041317504,0,0.04240531,0.045541484,0.9311359,False,414
ZNF684,0.0,0.0330928,0,0.034171555,0.0364599,0.93723667,False,338
RIMS3,0.0,0.07212135,0,0.084536426,0.07982603,1.0590084,False,514
NFYC-AS1,0.0,0.030532278,0,0.031463478,0.0336036,0.9363126,False,306
NFYC,0.0,0.4671012,0,0.52524155,0.59807336,0.87822264,False,3986
KCNQ4,0.0,0.008690255,0,0.008770257,0.0093192505,0.94109046,False,110
CITED4,0.0,0.032743637,0,0.034000557,0.03607037,0.9426174,False,358
CTPS1,0.0,0.30388734,0,0.37659168,0.36634743,1.0279632,False,2175
SLFNL1-AS1,0.0,0.0012026691,0,0.0012012693,0.0012518085,0.95962703,False,8
SCMH1,0.0,0.24600403,0,0.26805386,0.29001844,0.9242649,False,2077
FOXO6,0.0,0.0038795779,0,0.003942271,0.0041185203,0.9572057,False,34
EDN2,0.0,0.0035692116,0,0.0037893942,0.0037836817,1.0015098,False,34
HIVEP3,0.0,0.027079454,0,0.02960615,0.02975232,0.99508715,False,262
FOXJ3,0.0,0.13590162,0,0.14420705,0.15306342,0.94213927,False,1429
RIMKLA,0.0,0.13008225,0,0.14327194,0.1462831,0.9794155,False,1550
ZMYND12,0.0,0.0030260708,0,0.0030170307,0.0031983987,0.9432941,False,37
PPCS,0.0,0.277739,0,0.30737793,0.33143517,0.92741495,False,2457
CCDC30,0.0,0.08154873,0,0.089722,0.09058989,0.9904196,False,974
PPIH,0.0,0.4346291,0,0.528258,0.55001354,0.9604454,False,3239
AC098484.2,0.0,0.0057029794,0,0.005903459,0.006089377,0.9694685,False,55
YBX1,0.0,28.33698,0,391.5375,429.92664,0.9107077,False,11543
CLDN19,0.0,0.0065564867,0,0.0065913466,0.0070112115,0.9401152,False,88
P3H1,0.0,0.1809823,0,0.19098806,0.20721892,0.92167294,False,1696
C1orf50,0.0,0.2049969,0,0.21752848,0.23729324,0.9167074,False,1799
AC098484.3,0.0,0.0008147114,0,0.0008140792,0.00084303983,0.96564734,False,3
TMEM269,0.0,0.008263501,0,0.008195533,0.008854853,0.92554146,False,67
SVBP,0.0,2.1117706,0,3.304791,4.3700323,0.75623953,False,9196
ERMAP,0.0,0.043334886,0,0.044795148,0.047776494,0.93759805,False,400
AL512353.1,0.0,0.009117008,0,0.00973259,0.009784219,0.99472326,False,89
ZNF691,0.0,0.122400686,0,0.12759751,0.13737586,0.92882043,False,1151
SLC2A1,1.0,0.7847998,1,1.965365,1.120071,1.7546788,True,3569
SLC2A1-AS1,0.0,0.07002638,0,0.07629883,0.077449515,0.98514277,False,631
FAM183A,1.0,0.12697859,1,0.17021917,0.14268251,1.1929926,True,1381
EBNA1BP2,0.0,0.649131,0,0.8235399,0.8844669,0.93111444,False,4799
CFAP57,0.0,0.010474861,0,0.010675918,0.011266798,0.94755566,False,141
TMEM125,0.0,0.0007371198,0,0.000736605,0.00076185504,0.96685725,False,11
TIE1,0.0,0.002444134,0,0.0026710385,0.002573996,1.0377011,False,24
AL139289.2,0.0,0.0053150216,0,0.0054421667,0.0056692944,0.95993716,False,55
CDC20,0.0,0.7530649,1,2.8490887,1.0633295,2.6794035,False,3415
ELOVL1,0.0,0.11087833,0,0.1151934,0.12407074,0.92844933,False,1048
MED8,0.0,0.2508147,0,0.2634911,0.29624367,0.8894404,False,2286
SZT2,0.0,0.06750465,0,0.0703217,0.074605905,0.9425756,False,722
SZT2-AS1,0.0,0.00027157046,0,0.00027150725,0.00027740744,0.9787309,False,3
HYI,0.0,0.1673262,0,0.18038107,0.1904056,0.9473517,False,1651
PTPRF,0.0,0.5128026,0,0.65093213,0.66671526,0.976327,False,3646
KDM4A,0.0,0.11149907,0,0.11792635,0.12478098,0.9450667,False,1024
KDM4A-AS1,0.0,0.03821384,0,0.040091537,0.04212326,0.95176715,False,325
ST3GAL3,0.0,0.22381285,0,0.24938211,0.26139462,0.95404446,False,1864
ARTN,0.0,0.0034140286,0,0.0037128832,0.0036163097,1.026705,False,13
AL357079.1,0.0,0.003685599,0,0.0036721579,0.003909243,0.9393527,False,40
IPO13,0.0,0.07596213,0,0.078186855,0.084204845,0.92853147,False,731
DPH2,0.0,0.14660925,0,0.1556145,0.1656923,0.93917763,False,1230
ATP6V0B,0.0,1.1606921,0,1.7026737,1.8701799,0.91043305,False,6456
B4GALT2,0.0,0.22113594,0,0.25162077,0.25794527,0.9754812,False,1899
CCDC24,0.0,0.03549814,0,0.03648959,0.03913106,0.93249685,False,386
SLC6A9,0.0,0.07029795,0,0.07629952,0.077756934,0.9812568,False,635
AL139220.2,0.0,0.050783675,0,0.053172614,0.05595737,0.95023435,False,436
DMAP1,0.0,0.24604283,0,0.26357308,0.2900686,0.90865785,False,2222
ERI3,0.0,1.0306875,0,1.4010757,1.5953047,0.8782496,False,6405
RNF220,0.0,0.57293606,0,0.73532027,0.75995046,0.96758974,False,4033
TMEM53,0.0,0.15328212,0,0.16292463,0.17358205,0.938603,False,1397
ARMH1,0.0,0.044421166,0,0.047415625,0.048979413,0.96807253,False,555
KIF2C,0.0,0.23184358,1,0.44067907,0.27175295,1.6216165,False,1620
RPS8,0.0,62.8447,0,2467.373,2338.904,1.054927,False,11563
BEST4,0.0,0.008535071,0,0.008617741,0.009150283,0.9418005,False,86
PLK3,1.0,0.107309125,1,0.13645715,0.11999311,1.1372081,True,825
BTBD19,0.0,0.010979205,0,0.010936678,0.011818729,0.92536837,False,150
PTCH2,0.0,0.020988517,0,0.021402337,0.022939395,0.9329948,False,233
EIF2B3,0.0,0.10695996,0,0.11430112,0.11959445,0.9557394,False,912
HECTD3,0.0,0.0404252,0,0.041042753,0.044557143,0.9211262,False,385
UROD,0.0,0.27894166,0,0.30791113,0.33302486,0.9245891,False,2436
ZSWIM5,0.0,0.045080695,0,0.04615388,0.049706884,0.92852086,False,462
LINC01144,0.0,0.005586592,0,0.005788381,0.0059633087,0.97066605,False,64
HPDL,0.0,0.0019397889,0,0.002013696,0.0020347252,0.9896648,False,14
MUTYH,0.0,0.26869956,0,0.3011828,0.31954104,0.94254816,False,2269
TOE1,0.0,0.08562228,0,0.08954536,0.095231734,0.9402891,False,785
TESK2,0.0,0.02886406,0,0.029894283,0.031742882,0.9417634,False,235
CCDC163,0.0,0.015751086,0,0.016745104,0.01709656,0.9794429,False,148
MMACHC,0.0,0.028437305,0,0.029569563,0.031266887,0.94571495,False,274
PRDX1,0.0,3.114758,0,8.765957,7.9178014,1.1071202,False,9638
AKR1A1,0.0,1.6514587,0,2.8933737,3.0523477,0.9479174,False,7809
NASP,0.0,1.5798417,1,3.438048,2.8654635,1.1998227,False,7318
CCDC17,0.0,0.0031036623,0,0.0030941498,0.0032818953,0.94279355,False,27
GPBP1L1,0.0,0.41880044,0,0.46805236,0.5269394,0.8882471,False,3338
TMEM69,0.0,0.4660537,0,0.525094,0.59651476,0.8802699,False,3743
IPP,0.0,0.052607078,0,0.053488452,0.057959788,0.9228545,False,512
MAST2,0.0,0.080578834,0,0.083012134,0.089482054,0.9276959,False,729
PIK3R3,0.0,0.3474938,0,0.41150331,0.42579433,0.96643686,False,2882
AL358075.1,0.0,0.00046554935,0,0.00046535066,0.00047861357,0.9722889,False,6
AL358075.2,0.0,0.004383923,0,0.0044424683,0.0046627712,0.9527527,False,49
POMGNT1,0.0,0.30167598,0,0.32473978,0.363376,0.89367425,False,2507
LURAP1,0.0,0.02222998,0,0.02220222,0.024332572,0.9124486,False,209
RAD54L,0.0,0.12371974,1,0.15675879,0.13890532,1.1285298,False,1036
LRRC41,0.0,0.32301366,0,0.35525075,0.3921949,0.9058016,False,2673
UQCRH,1.0,7.2264895,1,39.44333,32.092335,1.2290576,True,11068
NSUN4,0.0,0.073246434,0,0.07618664,0.08110637,0.93934226,False,616
FAAH,0.0,0.018001242,0,0.018686611,0.019599682,0.9534141,False,195
DMBX1,1.0,0.041938238,1,0.06369214,0.046227586,1.377795,True,172
MKNK1,0.0,0.13322471,0,0.13875873,0.14993809,0.92544013,False,1197
