"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GOLT1B",1.45686341963309e-13,0.375520120870989,0.264,0.198,3.22403874764802e-09,"10-N_Glut","GOLT1B"
"PANK3",1.47782925066012e-13,0.349889762134657,0.352,0.289,3.27043613171085e-09,"10-N_Glut","PANK3"
"GPBP1",1.48009602278519e-13,0.25757722273332,0.653,0.643,3.27545249842362e-09,"10-N_Glut","GPBP1"
"PPM1A",1.52929992140918e-13,0.336402520750341,0.327,0.259,3.38434072607852e-09,"10-N_Glut","PPM1A"
"KCNMB4",1.69642485554599e-13,0.295683097955514,0.251,0.177,3.75418820532327e-09,"10-N_Glut","KCNMB4"
"RUSC1",1.82182056607748e-13,0.372584015343061,0.33,0.27,4.03168891272946e-09,"10-N_Glut","RUSC1"
"FOXO3",1.95161235901665e-13,0.3023323524473,0.295,0.222,4.31891815050385e-09,"10-N_Glut","FOXO3"
"NKTR",2.08786406030026e-13,0.278222814908129,0.571,0.54,4.62044316544448e-09,"10-N_Glut","NKTR"
"FYTTD1",2.18925618578411e-13,0.334503713830433,0.389,0.33,4.84482393914024e-09,"10-N_Glut","FYTTD1"
"SECISBP2",2.7452714300044e-13,0.26214022531854,0.557,0.535,6.07528567459974e-09,"10-N_Glut","SECISBP2"
"CCDC50",3.12992224278144e-13,0.34175456881521,0.426,0.379,6.92651792327532e-09,"10-N_Glut","CCDC50"
"DTX3",3.47135076776613e-13,0.339291396975373,0.404,0.346,7.68209924906644e-09,"10-N_Glut","DTX3"
"RNF10",3.49689520431981e-13,0.303861481825122,0.519,0.487,7.73862908715975e-09,"10-N_Glut","RNF10"
"LASP1",3.62329814934347e-13,0.333319164500694,0.329,0.264,8.0183588044971e-09,"10-N_Glut","LASP1"
"GSK3A",4.0505859693182e-13,0.335403542242242,0.319,0.256,8.96394675010117e-09,"10-N_Glut","GSK3A"
"ZNF521",4.15240824431037e-13,0.376531551150341,0.293,0.226,9.18927944465885e-09,"10-N_Glut","ZNF521"
"ATP6V1E1",4.49750262023077e-13,0.306362631816737,0.313,0.246,9.9529732985707e-09,"10-N_Glut","ATP6V1E1"
"GNAQ",4.5527478415037e-13,0.322302623483683,0.447,0.397,1.00752309732477e-08,"10-N_Glut","GNAQ"
"KANSL1",4.77884405819828e-13,0.281442001595523,0.591,0.567,1.05755819007928e-08,"10-N_Glut","KANSL1"
"MRPL44",4.7932991171841e-13,0.338062460854454,0.365,0.305,1.06075709463284e-08,"10-N_Glut","MRPL44"
"UBE2G1",4.82990307572349e-13,0.29522179690863,0.456,0.412,1.06885755065761e-08,"10-N_Glut","UBE2G1"
"RAD54L2",5.1358265812599e-13,0.363504177026503,0.312,0.247,1.13655842243282e-08,"10-N_Glut","RAD54L2"
"WFIKKN11",5.37624988039048e-13,0.480697491188678,0.317,0.254,1.18976409853041e-08,"10-N_Glut","WFIKKN1"
"SYNRG",7.30874675834655e-13,0.358243197311977,0.286,0.223,1.61742565762209e-08,"10-N_Glut","SYNRG"
"RTL8A",8.04235800110712e-13,0.2637307927073,0.558,0.527,1.77977382564501e-08,"10-N_Glut","RTL8A"
"LMNA",9.38532296466914e-13,0.292845199700227,0.359,0.293,2.07697197208128e-08,"10-N_Glut","LMNA"
"SEPT6",9.86969095180998e-13,0.338523248921797,0.36,0.299,2.18416260763555e-08,"10-N_Glut","SEPT6"
"CHMP3",1.00530296509186e-12,0.260992975861433,0.597,0.577,2.22473546174829e-08,"10-N_Glut","CHMP3"
"ANKRD46",1.10827850043149e-12,0.343210980771715,0.339,0.273,2.45262032145489e-08,"10-N_Glut","ANKRD46"
"TLNRD1",1.1331686613452e-12,0.31204189500353,0.385,0.327,2.50770224755693e-08,"10-N_Glut","TLNRD1"
"DEDD2",1.1741361330633e-12,0.383090495991601,0.299,0.238,2.59836326246909e-08,"10-N_Glut","DEDD2"
"CRYZL11",1.214665851174e-12,0.278851038419152,0.507,0.467,2.68805552864806e-08,"10-N_Glut","CRYZL1"
"CISD1",1.40985547533683e-12,0.295173625589991,0.538,0.504,3.12001016692041e-08,"10-N_Glut","CISD1"
"ZFR2",1.81179654018733e-12,0.359666994289013,0.273,0.209,4.00950574343456e-08,"10-N_Glut","ZFR2"
"ZNF720",1.90040698734529e-12,0.328009131251023,0.315,0.253,4.20560066299513e-08,"10-N_Glut","ZNF720"
"TBCC",1.96447318781288e-12,0.353508582564969,0.279,0.215,4.34737916462989e-08,"10-N_Glut","TBCC"
"BCL7A",2.35607266392711e-12,0.301326820655809,0.438,0.387,5.2139888052707e-08,"10-N_Glut","BCL7A"
"TUBGCP4",2.44926994680932e-12,0.319451100577215,0.382,0.322,5.42023439228902e-08,"10-N_Glut","TUBGCP4"
"ARID5B",2.66511673754421e-12,0.389587990881095,0.259,0.193,5.89790334018534e-08,"10-N_Glut","ARID5B"
"AKIRIN1",2.99130899911669e-12,0.256580529553227,0.597,0.586,6.61976681504524e-08,"10-N_Glut","AKIRIN1"
"TMEM9B",3.41389384401697e-12,0.300824509840552,0.394,0.334,7.55494707680955e-08,"10-N_Glut","TMEM9B"
"ZFR",4.08612044611431e-12,0.302393342328517,0.443,0.399,9.04258454725096e-08,"10-N_Glut","ZFR"
"MED19",4.15997938072998e-12,0.313200730260108,0.413,0.362,9.20603436955544e-08,"10-N_Glut","MED19"
"FH",4.39721629291675e-12,0.359378462019575,0.336,0.276,9.73103965622476e-08,"10-N_Glut","FH"
"SVIP2",4.79180577787564e-12,0.35146523493639,0.483,0.442,1.06042661864388e-07,"10-N_Glut","SVIP"
"SLU7",4.96550809147764e-12,0.298009187928578,0.322,0.256,1.098866940644e-07,"10-N_Glut","SLU7"
"KLHL23",5.01941605737512e-12,0.316990641298446,0.434,0.384,1.11079677349711e-07,"10-N_Glut","KLHL23"
"PRKAR1A1",7.03446330658924e-12,0.270578431934259,0.5,0.457,1.5567267297482e-07,"10-N_Glut","PRKAR1A"
