"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT1X",5.12507898979769e-188,0.365903906329642,0.471,0.29,1.13417998044223e-183,"0-P_MesenFP_LMX1A_Early","MT1X"
"ARL4A",2.0254798693029e-182,0.384209831661638,0.798,0.664,4.48238695076733e-178,"0-P_MesenFP_LMX1A_Early","ARL4A"
"NTN1",1.56761459619833e-177,0.395045372531276,0.584,0.368,3.46913110138691e-173,"0-P_MesenFP_LMX1A_Early","NTN1"
"MFAP2",3.76557900868748e-177,0.494910371206933,0.63,0.489,8.3332263462254e-173,"0-P_MesenFP_LMX1A_Early","MFAP2"
"WNT5A",3.64490908388532e-176,0.372771420616006,0.543,0.316,8.06618380263822e-172,"0-P_MesenFP_LMX1A_Early","WNT5A"
"YAP1",7.93084872217116e-172,0.527238034160878,0.517,0.351,1.75509682221648e-167,"0-P_MesenFP_LMX1A_Early","YAP1"
"GALNT7",1.308144488021e-171,0.564447901343881,0.272,0.119,2.89492375199047e-167,"0-P_MesenFP_LMX1A_Early","GALNT7"
"COL5A2",4.66464653025503e-170,0.769938700483264,0.267,0.118,1.03228627714544e-165,"0-P_MesenFP_LMX1A_Early","COL5A2"
"STT3B",8.32808467284533e-170,0.497180784357273,0.599,0.448,1.84300513810067e-165,"0-P_MesenFP_LMX1A_Early","STT3B"
"C3orf58",6.7990779030461e-169,0.385546446817536,0.534,0.318,1.5046359399441e-164,"0-P_MesenFP_LMX1A_Early","C3orf58"
"SCD",9.28540782791337e-169,0.400638187652817,0.841,0.784,2.05486075231723e-164,"0-P_MesenFP_LMX1A_Early","SCD"
"ZNF503",5.751251661953e-167,0.446597447979278,0.641,0.463,1.2727519927902e-162,"0-P_MesenFP_LMX1A_Early","ZNF503"
"TMEM123",1.21760703920062e-163,0.413649263953605,0.717,0.598,2.69456437775097e-159,"0-P_MesenFP_LMX1A_Early","TMEM123"
"ARX",1.83864802298359e-161,0.420842500297385,0.343,0.163,4.06892807486267e-157,"0-P_MesenFP_LMX1A_Early","ARX"
"RBP1",9.26785276949822e-161,0.258993954241468,0.887,0.779,2.05097581788996e-156,"0-P_MesenFP_LMX1A_Early","RBP1"
"PKIB",1.46758937087058e-158,0.437662382245781,0.74,0.631,3.2477752777366e-154,"0-P_MesenFP_LMX1A_Early","PKIB"
"MAP6",1.09262566012092e-157,0.376798025078562,0.708,0.55,2.41798058584759e-153,"0-P_MesenFP_LMX1A_Early","MAP6"
"TCIM",9.42714552870225e-155,0.46160153689292,0.514,0.322,2.08622730550181e-150,"0-P_MesenFP_LMX1A_Early","TCIM"
"CETN2",1.09558461133722e-153,0.396262483264799,0.748,0.639,2.42452874488927e-149,"0-P_MesenFP_LMX1A_Early","CETN2"
"HSPB1",3.71432152723321e-153,0.360498189062906,0.788,0.678,8.2197935397671e-149,"0-P_MesenFP_LMX1A_Early","HSPB1"
"TPI1",7.4531842821157e-153,0.331485860469606,0.972,0.962,1.6493896816322e-148,"0-P_MesenFP_LMX1A_Early","TPI1"
"ELMO1",9.50162204043396e-152,0.466601921386513,0.389,0.213,2.10270895754804e-147,"0-P_MesenFP_LMX1A_Early","ELMO1"
"PKM",1.02380557429894e-147,0.286680818042485,0.928,0.896,2.26568173592356e-143,"0-P_MesenFP_LMX1A_Early","PKM"
"PTPRD",8.23870677216031e-145,0.509998320635839,0.406,0.247,1.82322580867908e-140,"0-P_MesenFP_LMX1A_Early","PTPRD"
"RAD21",2.49283364283293e-143,0.447957513673357,0.679,0.582,5.51664085158927e-139,"0-P_MesenFP_LMX1A_Early","RAD21"
"XBP1",1.19104476393029e-142,0.489046205599929,0.578,0.434,2.63578206257774e-138,"0-P_MesenFP_LMX1A_Early","XBP1"
"UBE2E2",2.74171990678015e-142,0.496844461320575,0.548,0.416,6.06742615370447e-138,"0-P_MesenFP_LMX1A_Early","UBE2E2"
"DTNA",6.68613660969045e-141,0.46358392527883,0.428,0.26,1.4796420317245e-136,"0-P_MesenFP_LMX1A_Early","DTNA"
"CFAP126",7.70104936633356e-139,0.491157531347772,0.262,0.117,1.70424222476962e-134,"0-P_MesenFP_LMX1A_Early","CFAP126"
"JADE1",7.91340169670415e-136,0.514871407484805,0.417,0.267,1.75123579548063e-131,"0-P_MesenFP_LMX1A_Early","JADE1"
"SVIP",2.39577572763651e-131,0.428034847360734,0.578,0.439,5.30185168525959e-127,"0-P_MesenFP_LMX1A_Early","SVIP"
"SERPINE2",9.28206266847672e-131,0.517841773341112,0.324,0.181,2.0541204685339e-126,"0-P_MesenFP_LMX1A_Early","SERPINE2"
"PTP4A2",9.57591434754919e-130,0.393311480823026,0.66,0.562,2.11914984511264e-125,"0-P_MesenFP_LMX1A_Early","PTP4A2"
"CANX",1.06367243729803e-128,0.370835819336147,0.706,0.618,2.35390710374053e-124,"0-P_MesenFP_LMX1A_Early","CANX"
