"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GATA3",0,3.18748835385365,0.868,0.001,0,"N_GABA","GATA3"
"GAD2",0,2.82249916643869,0.711,0.002,0,"N_GABA","GAD2"
"SLC32A1",0,2.17876899608266,0.684,0.002,0,"N_GABA","SLC32A1"
"GATA3-AS1",0,2.12438470874822,0.579,0.001,0,"N_GABA","GATA3-AS1"
"GATA2",0,1.97676629618383,0.553,0.002,0,"N_GABA","GATA2"
"NKX1-2",0,1.78242795463857,0.5,0.002,0,"N_GABA","NKX1-2"
"SOX14",0,1.62136982901648,0.368,0.001,0,"N_GABA","SOX14"
"PLPPR1",1.32467532016906e-109,2.038568800296,0.605,0.025,2.62126752355054e-105,"N_GABA","PLPPR1"
"ONECUT3",6.05074385067356e-101,2.12402128393081,0.632,0.029,1.19732119317128e-96,"N_GABA","ONECUT3"
"ASIC4",5.21704006575281e-95,1.37834906248794,0.474,0.017,1.03234788821117e-90,"N_GABA","ASIC4"
"SRRM4",1.92587079846354e-70,1.78991241167552,0.632,0.042,3.81091313599965e-66,"N_GABA","SRRM4"
"ONECUT2",2.76423286981917e-66,2.3809942906216,0.868,0.09,5.46986400279818e-62,"N_GABA","ONECUT2"
"NRXN1",9.73576058891748e-59,1.51194692169867,0.474,0.028,1.92651230533499e-54,"N_GABA","NRXN1"
"RUNX1T1",5.50544224157293e-58,1.45872003039496,0.5,0.032,1.08941691076245e-53,"N_GABA","RUNX1T1"
"ATP1A3",2.65576350812356e-54,1.426025010077,0.526,0.038,5.2552248298749e-50,"N_GABA","ATP1A3"
"SYT5",5.00037369678929e-54,1.25740388534483,0.553,0.042,9.89473947120665e-50,"N_GABA","SYT5"
"SVOP",3.1163715429203e-51,1.13539070484764,0.289,0.012,6.16667600913068e-47,"N_GABA","SVOP"
"SNCG",8.59313444462408e-51,2.06527759859639,0.711,0.075,1.70040944390221e-46,"N_GABA","SNCG"
"STMN4",4.42806113994709e-50,2.4224036563426,0.711,0.075,8.7622473837273e-46,"N_GABA","STMN4"
"NRXN3",1.03403946656293e-49,1.27643782607113,0.368,0.02,2.04615729643472e-45,"N_GABA","NRXN3"
